"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";35;"";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
4;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
5;"";"Version1.0.0.";1;"";;;
6;"H2,H3,H4,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
7;"R6";"0603R";1;"10k";;;
8;"C4,C3,C2";"0805C";3;"GMC21X7R104K100NT";;;
9;"U1";"DRV8825";1;"DRV8825";;;
10;"R1,R3";"0603R";2;"73L2R20G";;;
11;"R4";"tc33x-2-103e";1;"tc33x-2-104e";;;
12;"C6";"0603C";1;"0.47uF";;;
13;"R5";"0603R";1;"1.5k";;;
14;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
15;"C1";"0805C";1;"GMC32X7R475K100NT";;;
16;"R2";"0603R";1;"1M";;;
17;"C5";"0805C";1;"08051C103KAT2A";;;
18;"K1,K2";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
