"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";37;"";;;
2;"H2,H3,H4,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
3;"R6,R8";"0603R";2;"10k";;;
4;"C4,C3,C2";"0805C";3;"CL21B104KCFNNNE";;;
5;"U1";"DRV8825";1;"DRV8825";;;
6;"R1,R3";"0603R";2;"73L2R20G";;;
7;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
8;"R4";"tc33x-2-103e";1;"tc33x-2-104e";;;
9;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
10;"C6";"0603C";1;"0.47uF";;;
11;"R5";"0603R";1;"1.5k";;;
12;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
13;"G***";"Symbol-Front-Motor";1;"LOGO";;;
14;"R2";"0603R";1;"1M";;;
15;"D1";"0402LED";1;"purple";;;
16;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
17;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
18;"R7";"0402R";1;"2k2";;;
19;"C5";"0805C";1;"08051C103KAT2A";;;
20;"C1";"1210C";1;"12101C335K4T2A";;;
21;"K1,K2";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
22;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
