"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","12101C335K4T2A","","Soldered footprints:1210C","1",""
"C2,C3,C4","CL21B104KCFNNNE","","Soldered footprints:0805C","3",""
"C5","08051C103KAT2A","","Soldered footprints:0805C","1",""
"C6","470n","","Soldered footprints:0603C","1",""
"D1","purple","","Soldered footprints:0402LED","1",""
"DM1","SKU: 700151","","Soldered footprints:PCB","1",""
"K1,K2","HEADER_MALE_8X1","","Soldered footprints:HEADER_MALE_8X1","2",""
"R1,R3","0.2R","","Soldered footprints:0603R","2",""
"R2","1M","","Soldered footprints:0603R","1",""
"R4","TC33X-2-103E","","Soldered footprints:tc33x-2-103e","1",""
"R5","1k5","","Soldered footprints:0603R","1",""
"R6,R8","10k","","Soldered footprints:0603R","2",""
"R7","2k2","","Soldered footprints:0402R","1",""
"U1","DRV8825","","Soldered footprints:DRV8825","1",""
